"Var1" "Freq" "Porc"
"113" "School - PS 71 Rose E Scala" 32 3.19608160395355e-06
"114" "School - Bread and Roses Integrated Arts High School" 31 3.09620405383e-06
"115" "School - IS 303 Herbert S Eisenberg" 31 3.09620405383e-06
"116" "School - PS 150 Queens" 31 3.09620405383e-06
"117" "School - PS 207 Rockwood Park" 31 3.09620405383e-06
"118" "School - PS 261 Philip Livingston" 31 3.09620405383e-06
"119" "School - PS 32 The Gifford School" 31 3.09620405383e-06
"120" "School - EBC High School for Public Service - Bushwick" 30 2.99632650370646e-06
"121" "School - Hillcrest High School" 30 2.99632650370646e-06
"122" "School - PS 121 Queens" 30 2.99632650370646e-06
"123" "School - Abraham Lincoln High School" 29 2.89644895358291e-06
"124" "School - Achievement First Crown Heights Charter School" 29 2.89644895358291e-06
"125" "School - PS 118 Lorraine Hansberry" 29 2.89644895358291e-06
"126" "School - PS 255 Barbara Reing School" 29 2.89644895358291e-06
"127" "School - Tottenville High School" 29 2.89644895358291e-06
"128" "School - PS 166 Henry Gradstein" 27 2.69669385333581e-06
"129" "School - PS 50 Talfourd Lawn Elementary School" 27 2.69669385333581e-06
"130" "MOIA" 25 2.49693875308871e-06
"131" "School - PS 123 Mahalia Jackson" 25 2.49693875308871e-06
"132" "School - Richmond Hill High School" 25 2.49693875308871e-06
"133" "School - Young Women's Leadership School" 25 2.49693875308871e-06
"134" "Bureau of Fire Prevention - Hazmat Unit - Inspections" 24 2.39706120296516e-06
"135" "School - A Philip Randolph Campus High School" 24 2.39706120296516e-06
"136" "School - Baruch College Campus High School" 24 2.39706120296516e-06
"137" "School - New Utrecht High School" 24 2.39706120296516e-06
"138" "School - PS 178 - Dr Selman Waksman" 24 2.39706120296516e-06
"139" "School - PS 224 Hale A Woodruff" 24 2.39706120296516e-06
"140" "School - PS 45 John Tyler" 24 2.39706120296516e-06
"141" "School - Growing Up Green Charter School" 23 2.29718365284162e-06
"142" "School - PS 124 Osmond A Church" 23 2.29718365284162e-06
"143" "Bureau of Fire Prevention - Range Hood Unit - Inspections" 22 2.19730610271807e-06
"144" "Discrepancy and Billing" 22 2.19730610271807e-06
"145" "School - Frederick Douglass Academy" 22 2.19730610271807e-06
"146" "School - IS 61 William A Morris" 22 2.19730610271807e-06
"147" "School - Jane Addams High School for Academic Careers" 22 2.19730610271807e-06
"148" "School - PS 36 J C Drumgoole" 22 2.19730610271807e-06
"149" "School - PS 75 Emily Dickinson" 22 2.19730610271807e-06
"150" "COIB" 21 2.09742855259452e-06
"151" "School - Brooklyn Studio Secondary School" 21 2.09742855259452e-06
"152" "School - Port Richmond High School" 21 2.09742855259452e-06
"153" "School - PS 207 Elizabeth G Leary" 21 2.09742855259452e-06
"154" "School - PS 68 Bronx" 21 2.09742855259452e-06
"155" "School - Community Health Academy of the Heights" 20 1.99755100247097e-06
"156" "School - Dewitt Clinton High School" 20 1.99755100247097e-06
"157" "School - JHS 78 Roy H Mann" 20 1.99755100247097e-06
"158" "School - PS 165 Robert E Simon" 20 1.99755100247097e-06
"159" "School - PS 225 The Eileen E Zaglin" 20 1.99755100247097e-06
"160" "School - PS 93 Albert G Oliver" 20 1.99755100247097e-06
"161" "School - The Urban Assembly School of Business for Young Women" 20 1.99755100247097e-06
"162" "School - JHS 88 Peter Rouget" 19 1.89767345234742e-06
"163" "School - Norman Thomas High School" 19 1.89767345234742e-06
"164" "School - PS 226 Alfred De B Mason" 19 1.89767345234742e-06
"165" "School - PS 36 Margaret Douglas" 19 1.89767345234742e-06
"166" "School - PS 63 Old South" 19 1.89767345234742e-06
"167" "School - Clara Barton High School" 18 1.79779590222387e-06
"168" "School - Fiorello H Laguardia High School of Music and Art and Performing Arts" 18 1.79779590222387e-06
"169" "School - Harvest Collegiate High School" 18 1.79779590222387e-06
"170" "School - PS 282 Park Slope" 18 1.79779590222387e-06
"171" "School - PS 56 The Louis Desario School" 18 1.79779590222387e-06
"172" "School - PS 70 Queens" 18 1.79779590222387e-06
"173" "School - PS 83 Donald Hertz" 18 1.79779590222387e-06
"174" "School - PS 9 Teunis G Bergen" 18 1.79779590222387e-06
"175" "DOB Inspections - Staten Island" 17 1.69791835210033e-06
"176" "School - Brooklyn Technical High School" 17 1.69791835210033e-06
"177" "School - High School of Graphic Communication Arts" 17 1.69791835210033e-06
"178" "School - PS 194 Countee Cullen" 17 1.69791835210033e-06
"179" "School - PS 20 P O George J Werdan III" 17 1.69791835210033e-06
"180" "School - PS 242 The Young Diplomats Magnet Academy" 17 1.69791835210033e-06
"181" "School - PS 30 Queens" 17 1.69791835210033e-06
"182" "School - PS 5 Dr Ronald Mcnair" 17 1.69791835210033e-06
"183" "School - PS 76 A Philip Randolph" 17 1.69791835210033e-06
"184" "Payment Operations" 16 1.59804080197678e-06
"185" "School - Andries Hudde" 16 1.59804080197678e-06
"186" "School - Choir Academy of Harlem" 16 1.59804080197678e-06
"187" "School - Harlem Children's Zone Promise Academy II" 16 1.59804080197678e-06
"188" "School - IS 125 Thom J McCann Woodside" 16 1.59804080197678e-06
"189" "School - IS 238 Susan B Anthony Academy" 16 1.59804080197678e-06
"190" "School - New Explorers High School" 16 1.59804080197678e-06
"191" "School - PS 105 Senator Abraham Bernstein" 16 1.59804080197678e-06
"192" "School - PS 139 Alexine A Fenty" 16 1.59804080197678e-06
"193" "School - PS 160 William T Sampson" 16 1.59804080197678e-06
"194" "School - PS 166 The Richard Rodgers School of the Arts and Technology" 16 1.59804080197678e-06
"195" "School - PS 205 Clarion" 16 1.59804080197678e-06
"196" "School - PS 3 The Bedford Village" 16 1.59804080197678e-06
"197" "School - PS 3 The Margaret Gioiosa School" 16 1.59804080197678e-06
"198" "School - PS 354" 16 1.59804080197678e-06
"199" "School - PS 54 Samuel C Barnes" 16 1.59804080197678e-06
"200" "School - PS 87 William Sherman" 16 1.59804080197678e-06
"201" "NYPD" 15 1.49816325185323e-06
"202" "School - Baccalaureate School for Global Education" 15 1.49816325185323e-06
"203" "School - JHS 123 James M Kieran" 15 1.49816325185323e-06
"204" "School - JHS 62 Ditmas" 15 1.49816325185323e-06
"205" "School - Mosaic Preparatory Academy" 15 1.49816325185323e-06
"206" "School - PS - MS 114 Belle Harbor" 15 1.49816325185323e-06
"207" "School - PS 100 The Coney Island School" 15 1.49816325185323e-06
"208" "School - PS 111 Adolph S Ochs" 15 1.49816325185323e-06
"209" "School - PS 163 Alfred E Smith" 15 1.49816325185323e-06
"210" "School - PS 182" 15 1.49816325185323e-06
"211" "School - PS 188 Island School" 15 1.49816325185323e-06
"212" "School - PS 189" 15 1.49816325185323e-06
"213" "School - PS 191 Amsterdam" 15 1.49816325185323e-06
"214" "School - PS 329 Surfside" 15 1.49816325185323e-06
"215" "School - PS 38 The Pacific" 15 1.49816325185323e-06
"216" "School - PS 92 Mary McLeod Bethune" 15 1.49816325185323e-06
"217" "School - Ps-IS 268" 15 1.49816325185323e-06
"218" "School - South Shore Educational Complex YABC" 15 1.49816325185323e-06
"219" "School - STEM Institute of Manhattan" 15 1.49816325185323e-06
"220" "DFTA" 14 1.39828570172968e-06
"221" "MOVA" 14 1.39828570172968e-06
"222" "School - Brooklyn High School of the Arts" 14 1.39828570172968e-06
"223" "School - High School for Environmental Studies" 14 1.39828570172968e-06
"224" "School - International Leadership Charter High School" 14 1.39828570172968e-06
"225" "School - Jacqueline Kennedy Onassis High School" 14 1.39828570172968e-06
"226" "School - MS 61 Dr Gladstone H Atwell" 14 1.39828570172968e-06
"227" "School - PS 102 Joseph O Loretan" 14 1.39828570172968e-06
"228" "School - PS 148 Queens" 14 1.39828570172968e-06
"229" "School - PS 176 Cambria Heights" 14 1.39828570172968e-06
"230" "School - PS 193 Alfred J Kennedy" 14 1.39828570172968e-06
"231" "School - PS 209 Margaret Mead" 14 1.39828570172968e-06
"232" "School - PS 229 Dyker" 14 1.39828570172968e-06
"233" "School - PS 28 The Warren Prep Academy" 14 1.39828570172968e-06
"234" "School - PS 28 Wright Brothers" 14 1.39828570172968e-06
"235" "School - PS 32 Samuels Mills Sprole" 14 1.39828570172968e-06
"236" "School - PS 7 Abraham Lincoln" 14 1.39828570172968e-06
"237" "School - PS 88 Seneca" 14 1.39828570172968e-06
"238" "School - PS-IS 295" 14 1.39828570172968e-06
"239" "School - Susan E Wagner High School" 14 1.39828570172968e-06
"240" "School - Wadleigh Secondary School for the Performing and Visual Arts" 14 1.39828570172968e-06
"241" "MOFTB" 13 1.29840815160613e-06
"242" "School - Bronx Leadership Academy High School" 13 1.29840815160613e-06
"243" "School - Christopher Columbus High School" 13 1.29840815160613e-06
"244" "School - IS 119 The Glendale" 13 1.29840815160613e-06
"245" "School - IS 141 The Steinway" 13 1.29840815160613e-06
"246" "School - IS 187" 13 1.29840815160613e-06
"247" "School - JHS 74 Nathaniel Hawthorne" 13 1.29840815160613e-06
"248" "School - Life Sciences Secondary School" 13 1.29840815160613e-06
"249" "School - MS 137 America's School of Heroes" 13 1.29840815160613e-06
"250" "School - New York City Academy for Discovery" 13 1.29840815160613e-06
"251" "School - PS 106 Edward Everett Hale" 13 1.29840815160613e-06
"252" "School - PS 117 J Keld - Briarwood School" 13 1.29840815160613e-06
"253" "School - PS 140 Edward K Ellington" 13 1.29840815160613e-06
"254" "School - PS 163 Bath Beach" 13 1.29840815160613e-06
"255" "School - PS 198 Isador E Ida Straus" 13 1.29840815160613e-06
"256" "School - PS 236 Mill Basin" 13 1.29840815160613e-06
"257" "School - PS 250 George H Lindsay" 13 1.29840815160613e-06
"258" "School - PS 273 Wortman" 13 1.29840815160613e-06
"259" "School - PS 315" 13 1.29840815160613e-06
"260" "School - PS 345 Patrolman Robert Bolden" 13 1.29840815160613e-06
"261" "School - PS 48 William C Wilcox" 13 1.29840815160613e-06
"262" "School - PS 5 Ellen Lurie" 13 1.29840815160613e-06
"263" "School - PS 8 Issac Varian" 13 1.29840815160613e-06
"264" "FUND" 12 1.19853060148258e-06
